t,u,rf
0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00
1.061179999999999936e-02,7.428289999999999720e-03,2.598389999999999844e+01
2.033820000000000072e-02,1.423669999999999970e-02,2.992510000000000048e+01
3.070439999999999975e-02,2.149310000000000109e-02,3.400260000000000105e+01
4.301440000000000125e-02,3.011010000000000075e-02,3.883850000000000335e+01
5.155590000000000173e-02,3.608909999999999896e-02,4.212879999999999825e+01
6.003119999999999984e-02,4.202190000000000092e-02,4.532569999999999766e+01
7.112269999999999703e-02,4.978590000000000099e-02,4.952329999999999899e+01
8.048109999999999986e-02,5.633670000000000344e-02,5.294789999999999708e+01
9.336429999999999729e-02,6.535499999999999643e-02,5.770640000000000214e+01
1.073899999999999993e-01,7.517319999999999558e-02,6.277920000000000300e+01
1.173899999999999944e-01,8.217320000000000180e-02,6.633069999999999311e+01
1.273900000000000032e-01,8.917319999999999414e-02,6.986620000000000630e+01
1.373900000000000121e-01,9.617320000000000035e-02,7.331990000000000407e+01
1.473899999999999932e-01,1.031730000000000008e-01,7.679019999999999868e+01
1.573900000000000021e-01,1.101729999999999932e-01,8.022129999999999939e+01
1.673900000000000110e-01,1.171729999999999994e-01,8.360110000000000241e+01
1.773899999999999921e-01,1.241730000000000056e-01,8.696529999999999916e+01
1.823899999999999966e-01,1.276730000000000087e-01,8.862800000000000011e+01
1.917649999999999910e-01,1.342359999999999942e-01,9.171599999999999397e+01
2.002029999999999921e-01,1.401419999999999888e-01,9.452479999999999905e+01
2.102030000000000010e-01,1.471419999999999950e-01,9.777400000000000091e+01
2.202030000000000098e-01,1.541420000000000012e-01,1.010160000000000053e+02
2.302029999999999910e-01,1.611420000000000075e-01,1.042129999999999939e+02
2.402029999999999998e-01,1.681420000000000137e-01,1.074009999999999962e+02
2.502030000000000087e-01,1.751419999999999921e-01,1.105480000000000018e+02
2.602030000000000176e-01,1.821419999999999983e-01,1.136850000000000023e+02
2.702030000000000265e-01,1.891420000000000046e-01,1.167819999999999965e+02
2.802029999999999799e-01,1.961420000000000108e-01,1.198709999999999951e+02
2.902029999999999887e-01,2.031419999999999892e-01,1.229219999999999970e+02
3.002029999999999976e-01,2.101419999999999955e-01,1.259639999999999986e+02
3.102030000000000065e-01,2.171420000000000017e-01,1.289710000000000036e+02
3.202030000000000154e-01,2.241420000000000079e-01,1.319689999999999941e+02
3.302030000000000243e-01,2.311419999999999864e-01,1.349339999999999975e+02
3.402029999999999776e-01,2.381419999999999926e-01,1.378880000000000052e+02
3.502029999999999865e-01,2.451419999999999988e-01,1.408120000000000118e+02
3.602029999999999954e-01,2.521419999999999773e-01,1.437259999999999991e+02
3.702030000000000043e-01,2.591419999999999835e-01,1.466100000000000136e+02
3.802030000000000132e-01,2.661419999999999897e-01,1.494840000000000089e+02
3.902030000000000221e-01,2.731419999999999959e-01,1.523300000000000125e+02
4.002029999999999754e-01,2.801420000000000021e-01,1.551049999999999898e+02
4.102029999999999843e-01,2.871420000000000083e-01,1.579149999999999920e+02
4.202029999999999932e-01,2.941420000000000146e-01,1.607150000000000034e+02
4.302030000000000021e-01,3.011420000000000208e-01,1.634900000000000091e+02
4.402030000000000109e-01,3.081420000000000270e-01,1.662529999999999859e+02
4.502030000000000198e-01,3.151419999999999777e-01,1.689910000000000139e+02
4.602029999999999732e-01,3.221419999999999839e-01,1.717669999999999959e+02
4.702029999999999821e-01,3.291419999999999901e-01,1.744699999999999989e+02
4.802029999999999910e-01,3.361419999999999964e-01,1.771620000000000061e+02
4.902029999999999998e-01,3.431420000000000026e-01,1.798309999999999889e+02
5.002029999999999532e-01,3.501420000000000088e-01,1.824890000000000043e+02
5.102029999999999621e-01,3.571420000000000150e-01,1.851250000000000000e+02
5.202029999999999710e-01,3.641420000000000212e-01,1.877500000000000000e+02
5.302029999999999799e-01,3.711420000000000274e-01,1.903520000000000039e+02
5.402029999999999887e-01,3.781419999999999781e-01,1.929420000000000073e+02
5.502029999999999976e-01,3.851419999999999844e-01,1.955099999999999909e+02
5.602030000000000065e-01,3.921419999999999906e-01,1.980660000000000025e+02
5.702030000000000154e-01,3.991419999999999968e-01,2.005989999999999895e+02
5.802030000000000243e-01,4.061420000000000030e-01,2.031189999999999998e+02
5.902030000000000332e-01,4.131420000000000092e-01,2.056160000000000139e+02
6.002030000000000420e-01,4.201420000000000154e-01,2.080970000000000084e+02
6.102030000000000509e-01,4.271420000000000217e-01,2.105550000000000068e+02
6.202029999999999488e-01,4.341419999999999724e-01,2.129519999999999982e+02
6.302029999999999577e-01,4.411419999999999786e-01,2.153650000000000091e+02
6.402029999999999665e-01,4.481419999999999848e-01,2.177570000000000050e+02
6.502029999999999754e-01,4.551419999999999910e-01,2.201189999999999998e+02
6.602029999999999843e-01,4.621419999999999972e-01,2.224559999999999889e+02
6.702029999999999932e-01,4.691420000000000035e-01,2.247570000000000050e+02
6.802030000000000021e-01,4.761420000000000097e-01,2.270269999999999868e+02
6.902030000000000109e-01,4.831420000000000159e-01,2.292820000000000107e+02
7.002030000000000198e-01,4.901420000000000221e-01,2.314639999999999986e+02
7.102030000000000287e-01,4.971419999999999728e-01,2.335910000000000082e+02
7.202030000000000376e-01,5.041419999999999790e-01,2.356690000000000111e+02
7.302030000000000465e-01,5.111419999999999852e-01,2.376829999999999927e+02
7.402030000000000554e-01,5.181419999999999915e-01,2.396370000000000005e+02
7.502029999999999532e-01,5.251419999999999977e-01,2.415180000000000007e+02
7.602029999999999621e-01,5.321420000000000039e-01,2.433290000000000077e+02
7.702029999999999710e-01,5.391420000000000101e-01,2.450610000000000070e+02
7.802029999999999799e-01,5.461420000000000163e-01,2.467179999999999893e+02
7.902029999999999887e-01,5.531420000000000226e-01,2.482920000000000016e+02
8.002029999999999976e-01,5.601420000000000288e-01,2.497899999999999920e+02
8.102030000000000065e-01,5.671420000000000350e-01,2.512059999999999889e+02
8.202030000000000154e-01,5.741420000000000412e-01,2.525480000000000018e+02
8.302030000000000243e-01,5.811420000000000474e-01,2.538139999999999930e+02
8.402030000000000332e-01,5.881420000000000536e-01,2.550109999999999957e+02
8.502030000000000420e-01,5.951419999999999488e-01,2.561399999999999864e+02
8.602030000000000509e-01,6.021419999999999551e-01,2.572090000000000032e+02
8.702029999999999488e-01,6.091419999999999613e-01,2.582169999999999845e+02
8.802029999999999577e-01,6.161419999999999675e-01,2.591720000000000255e+02
8.902029999999999665e-01,6.231419999999999737e-01,2.600749999999999886e+02
9.002029999999999754e-01,6.301419999999999799e-01,2.609329999999999927e+02
9.102029999999999843e-01,6.371419999999999861e-01,2.617459999999999809e+02
9.202029999999999932e-01,6.441419999999999924e-01,2.625199999999999818e+02
9.302030000000000021e-01,6.511419999999999986e-01,2.632559999999999718e+02
9.402030000000000109e-01,6.581420000000000048e-01,2.639580000000000268e+02
9.502030000000000198e-01,6.651420000000000110e-01,2.646510000000000105e+02
9.602030000000000287e-01,6.721420000000000172e-01,2.652909999999999968e+02
9.702030000000000376e-01,6.791420000000000234e-01,2.659110000000000014e+02
9.802030000000000465e-01,6.861420000000000297e-01,2.664950000000000045e+02
9.902030000000000554e-01,6.931420000000000359e-01,2.670559999999999832e+02
1.000000000000000000e+00,6.999999999999999556e-01,2.675790000000000077e+02
