t,u,rf
0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00
1.077789999999999998e-02,5.388939999999999841e-01,2.649589999999999890e+01
2.077789999999999845e-02,1.038890000000000091e+00,2.978879999999999839e+01
3.077790000000000040e-02,1.538890000000000091e+00,3.305530000000000257e+01
4.077789999999999887e-02,2.038889999999999869e+00,3.629659999999999798e+01
5.077790000000000081e-02,2.538889999999999869e+00,3.951380000000000337e+01
6.077790000000000276e-02,3.038889999999999869e+00,4.270700000000000074e+01
7.077790000000000470e-02,3.538889999999999869e+00,4.587669999999999959e+01
8.077789999999999970e-02,4.038890000000000313e+00,4.902389999999999759e+01
9.077789999999999471e-02,4.538890000000000313e+00,5.214909999999999712e+01
1.007780000000000065e-01,5.038890000000000313e+00,5.525269999999999726e+01
1.107780000000000015e-01,5.538890000000000313e+00,5.833509999999999707e+01
1.207779999999999965e-01,6.038890000000000313e+00,6.139679999999999893e+01
1.307780000000000054e-01,6.538890000000000313e+00,6.443819999999999482e+01
1.407779999999999865e-01,7.038890000000000313e+00,6.745980000000000132e+01
1.507779999999999954e-01,7.538890000000000313e+00,7.046189999999999998e+01
1.607780000000000042e-01,8.038890000000000313e+00,7.344490000000000407e+01
1.707780000000000131e-01,8.538890000000000313e+00,7.640890000000000271e+01
1.807779999999999943e-01,9.038890000000000313e+00,7.935439999999999827e+01
1.907780000000000031e-01,9.538890000000000313e+00,8.228140000000000498e+01
2.007780000000000120e-01,1.003889999999999993e+01,8.519010000000000105e+01
2.107779999999999931e-01,1.053889999999999993e+01,8.808050000000000068e+01
2.207780000000000020e-01,1.103889999999999993e+01,9.095239999999999725e+01
2.307780000000000109e-01,1.153889999999999993e+01,9.380549999999999500e+01
2.407779999999999920e-01,1.203889999999999993e+01,9.663930000000000575e+01
2.507780000000000009e-01,1.253889999999999993e+01,9.945269999999999300e+01
2.607780000000000098e-01,1.303889999999999993e+01,1.022450000000000045e+02
2.707780000000000187e-01,1.353889999999999993e+01,1.050130000000000052e+02
2.807780000000000276e-01,1.403889999999999993e+01,1.077549999999999955e+02
2.907779999999999809e-01,1.453889999999999993e+01,1.104689999999999941e+02
3.007779999999999898e-01,1.503889999999999993e+01,1.131500000000000057e+02
3.107779999999999987e-01,1.553889999999999993e+01,1.157950000000000017e+02
3.207780000000000076e-01,1.603890000000000171e+01,1.184000000000000057e+02
3.307780000000000165e-01,1.653890000000000171e+01,1.209599999999999937e+02
3.407780000000000253e-01,1.703890000000000171e+01,1.234740000000000038e+02
3.507779999999999787e-01,1.753890000000000171e+01,1.259380000000000024e+02
3.607779999999999876e-01,1.803890000000000171e+01,1.283520000000000039e+02
3.707779999999999965e-01,1.853890000000000171e+01,1.307160000000000082e+02
3.807780000000000054e-01,1.903890000000000171e+01,1.330320000000000107e+02
3.907780000000000142e-01,1.953890000000000171e+01,1.353009999999999877e+02
4.007780000000000231e-01,2.003890000000000171e+01,1.375250000000000057e+02
4.107779999999999765e-01,2.053890000000000171e+01,1.397069999999999936e+02
4.207779999999999854e-01,2.103890000000000171e+01,1.418480000000000132e+02
4.307779999999999943e-01,2.153890000000000171e+01,1.439509999999999934e+02
4.407780000000000031e-01,2.203890000000000171e+01,1.460159999999999911e+02
4.507780000000000120e-01,2.253890000000000171e+01,1.480469999999999970e+02
4.607780000000000209e-01,2.303890000000000171e+01,1.500420000000000016e+02
4.707779999999999743e-01,2.353890000000000171e+01,1.520049999999999955e+02
4.807779999999999831e-01,2.403890000000000171e+01,1.539360000000000070e+02
4.907779999999999920e-01,2.453890000000000171e+01,1.558350000000000080e+02
5.007779999999999454e-01,2.503890000000000171e+01,1.577030000000000030e+02
5.107779999999999543e-01,2.553890000000000171e+01,1.595420000000000016e+02
5.207779999999999632e-01,2.603890000000000171e+01,1.613499999999999943e+02
5.307779999999999720e-01,2.653890000000000171e+01,1.631310000000000002e+02
5.407779999999999809e-01,2.703890000000000171e+01,1.648820000000000050e+02
5.507779999999999898e-01,2.753890000000000171e+01,1.666059999999999945e+02
5.607779999999999987e-01,2.803890000000000171e+01,1.683019999999999925e+02
5.707780000000000076e-01,2.853890000000000171e+01,1.699710000000000036e+02
5.807780000000000165e-01,2.903890000000000171e+01,1.716140000000000043e+02
5.907780000000000253e-01,2.953890000000000171e+01,1.732299999999999898e+02
6.007780000000000342e-01,3.003890000000000171e+01,1.748199999999999932e+02
6.107780000000000431e-01,3.053890000000000171e+01,1.763849999999999909e+02
6.207780000000000520e-01,3.103890000000000171e+01,1.779240000000000066e+02
6.307779999999999498e-01,3.153890000000000171e+01,1.794389999999999930e+02
6.407779999999999587e-01,3.203889999999999816e+01,1.809290000000000020e+02
6.507779999999999676e-01,3.253889999999999816e+01,1.823950000000000102e+02
6.607779999999999765e-01,3.303889999999999816e+01,1.838369999999999891e+02
6.707779999999999854e-01,3.353889999999999816e+01,1.852549999999999955e+02
6.807779999999999943e-01,3.403889999999999816e+01,1.866510000000000105e+02
6.907780000000000031e-01,3.453889999999999816e+01,1.880229999999999961e+02
7.007780000000000120e-01,3.503889999999999816e+01,1.893729999999999905e+02
7.107780000000000209e-01,3.553889999999999816e+01,1.907009999999999934e+02
7.207780000000000298e-01,3.603889999999999816e+01,1.920070000000000050e+02
7.307780000000000387e-01,3.653889999999999816e+01,1.932920000000000016e+02
