t,u,rf
0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00
1.062519999999999958e-02,7.437650000000000095e-01,2.603249999999999886e+01
2.005509999999999932e-02,1.403850000000000042e+00,2.982839999999999847e+01
3.314280000000000004e-02,2.319999999999999840e+00,3.502510000000000190e+01
4.379639999999999922e-02,3.065749999999999975e+00,3.917980000000000018e+01
5.561760000000000315e-02,3.893229999999999968e+00,4.371679999999999922e+01
6.152810000000000223e-02,4.306969999999999743e+00,4.596150000000000091e+01
7.334930000000000616e-02,5.134450000000000180e+00,5.041949999999999932e+01
8.184569999999999346e-02,5.729199999999999626e+00,5.358859999999999957e+01
9.181979999999999309e-02,6.427389999999999937e+00,5.725919999999999987e+01
1.017939999999999956e-01,7.125569999999999737e+00,6.088859999999999673e+01
1.117680000000000062e-01,7.823760000000000048e+00,6.447950000000000159e+01
1.217420000000000030e-01,8.521940000000000737e+00,6.803209999999999980e+01
1.317159999999999997e-01,9.220129999999999271e+00,7.154859999999999332e+01
1.441840000000000066e-01,1.009290000000000020e+01,7.589279999999999404e+01
1.516639999999999933e-01,1.061650000000000027e+01,7.847530000000000427e+01
1.666249999999999953e-01,1.166380000000000017e+01,8.357729999999999393e+01
1.741060000000000108e-01,1.218740000000000023e+01,8.610179999999999723e+01
1.815869999999999984e-01,1.271110000000000007e+01,8.860509999999999309e+01
1.965480000000000005e-01,1.375830000000000020e+01,9.357859999999999445e+01
2.040279999999999871e-01,1.428200000000000003e+01,9.603449999999999420e+01
2.115090000000000026e-01,1.480560000000000009e+01,9.847539999999999338e+01
2.264700000000000046e-01,1.585289999999999999e+01,1.033160000000000025e+02
2.339509999999999923e-01,1.637650000000000006e+01,1.057069999999999936e+02
2.414310000000000067e-01,1.690020000000000167e+01,1.080900000000000034e+02
2.563920000000000088e-01,1.794750000000000156e+01,1.128119999999999976e+02
2.638730000000000242e-01,1.847109999999999985e+01,1.151550000000000011e+02
2.713530000000000109e-01,1.899470000000000169e+01,1.174770000000000039e+02
2.863140000000000129e-01,2.004200000000000159e+01,1.220879999999999939e+02
2.937949999999999728e-01,2.056569999999999965e+01,1.243760000000000048e+02
3.000450000000000061e-01,2.100319999999999965e+01,1.262650000000000006e+02
